vera	909_Positive
yavalo	002_Positive
yathana	002_Positive
yarulam	002_Positive
yarukum	002_Positive
yarukagavum	002_Positive
yaraium	002_Positive
yarachum	002_Positive
yappaa	002_Positive
yangaluku	002_Positive
yai	002_Positive
yahh	002_Positive
yah	002_Positive
yada	002_Positive
yaavathu	002_Positive
yaarunu	002_Positive
yaarumey	002_Positive
yaarukkellam	002_Positive
wwoww	002_Positive
would	002_Positive
within	002_Positive
wide	002_Positive
wick	002_Positive
welcum	002_Positive
warning	002_Positive
vudane	002_Positive
vizhundhu	002_Positive
vitinga	002_Positive
viswaasama	002_Positive
visulu	002_Positive
viral	002_Positive
vilan	002_Positive
vikramsir	002_Positive
vidura	002_Positive
vidiya	002_Positive
vidha	002_Positive
videova	002_Positive
vidalaya	002_Positive
vetta	002_Positive
versatile	002_Positive
verithanaman	002_Positive
verithana	002_Positive
verah	002_Positive
venumm	002_Positive
vendumanaalum	002_Positive
vendiathu	002_Positive
velli	002_Positive
vekkai	002_Positive
veere	002_Positive
vayya	002_Positive
vayalur	002_Positive
vatri	002_Positive
vasul	002_Positive
varuva	002_Positive
varusa	002_Positive
varthaiye	002_Positive
varom	002_Positive
varikum	002_Positive
varen	002_Positive
varavaraikum	002_Positive
varanom	002_Positive
varamari	002_Positive
varam	002_Positive
varaleval	002_Positive
varaikku	002_Positive
vanthurukum	002_Positive
vanthuruchu	002_Positive
vanthenu	002_Positive
vanthavaga	002_Positive
vanthachi	002_Positive
vanil	002_Positive
vangala	002_Positive
vangaa	002_Positive
vandhuten	002_Positive
vandhate	002_Positive
vanam	002_Positive
valzga	002_Positive
value	002_Positive
valakama	002_Positive
vakil	002_Positive
vaisu	002_Positive
vaingada	002_Positive
vachirukanunga	002_Positive
vaazhthukal	002_Positive
vaasi	002_Positive
vaarthaiye	002_Positive
vaararu	002_Positive
vaara	002_Positive
vaalga	002_Positive
vaal	002_Positive
usual	002_Positive
unn	002_Positive
unmailaye	002_Positive
unlyk	002_Positive
unkalukku	002_Positive
unka	002_Positive
ungal	002_Positive
undan	002_Positive
uncle	002_Positive
ullaala	002_Positive
trio	002_Positive
treaser	002_Positive
traileruku	002_Positive
tr	002_Positive
toughuu	002_Positive
tnqq	002_Positive
titra	002_Positive
ting	002_Positive
thuru	002_Positive
thunga	002_Positive
thookunga	002_Positive
thookam	002_Positive
thookalama	002_Positive
thirutu	002_Positive
thirimpi	002_Positive
things	002_Positive
thevaiyanatha	002_Positive
theriyathula	002_Positive
theriyanum	002_Positive
therithu	002_Positive
therikum	002_Positive
therikkudhu	002_Positive
theivame	002_Positive
theivam	002_Positive
thee	002_Positive
theatres	002_Positive
thavayanatha	002_Positive
thattunga	002_Positive
thatta	002_Positive
thats	002_Positive
tharamaama	002_Positive
thanta	002_Positive
thanmanathaiyum	002_Positive
thanada	002_Positive
thalpathi	002_Positive
thalava	002_Positive
thalathan	002_Positive
thalaiyin	002_Positive
thalaivaruu	002_Positive
thalaivartha	002_Positive
thalaivarin	002_Positive
thalaikku	002_Positive
thalaikaha	002_Positive
thalaaivar	002_Positive
thakkali	002_Positive
thailavaa	002_Positive
thailaiva	002_Positive
thaararaa	002_Positive
thaanga	002_Positive
thaalaiva	002_Positive
thaalaa	002_Positive
terikudhu	002_Positive
tenkasi	002_Positive
teasar	002_Positive
taramaana	002_Positive
tamizh	002_Positive
tamilcinema	002_Positive
talant	002_Positive
talaivan	002_Positive
takar	002_Positive
tah	002_Positive
supraj	002_Positive
superoo	002_Positive
superaa	002_Positive
suits	002_Positive
sudden	002_Positive
suda	002_Positive
such	002_Positive
subraj	002_Positive
styles	002_Positive
stylela	002_Positive
styla	002_Positive
styl	002_Positive
stomach	002_Positive
starts	002_Positive
starr	002_Positive
starkku	002_Positive
sombu	002_Positive
soluravanga	002_Positive
solu	002_Positive
soltringa	002_Positive
solravagga	002_Positive
solranga	002_Positive
solluravnge	002_Positive
solluda	002_Positive
solle	002_Positive
solldravanga	002_Positive
sollame	002_Positive
solaravanga	002_Positive
sivakarthikayen	002_Positive
sister	002_Positive
sirpana	002_Positive
sirippu	002_Positive
sinthanai	002_Positive
singer	002_Positive
silaya	002_Positive
sijlee	002_Positive
siddiki	002_Positive
shruthi	002_Positive
sheep	002_Positive
shangar	002_Positive
shalini	002_Positive
shakthiman	002_Positive
shackarsh	002_Positive
setting	002_Positive
seriya	002_Positive
semmya	002_Positive
semmee	002_Positive
semm	002_Positive
self	002_Positive
sekkirama	002_Positive
sekaram	002_Positive
seemmaa	002_Positive
seema	002_Positive
sedhukki	002_Positive
secs	002_Positive
seamma	002_Positive
saying	002_Positive
sava	002_Positive
sarkara	002_Positive
sara	002_Positive
sapdaporam	002_Positive
sakthi	002_Positive
sakkara	002_Positive
saavunga	002_Positive
saa	002_Positive
ruba	002_Positive
rope	002_Positive
roma	002_Positive
rockss	002_Positive
roar	002_Positive
response	002_Positive
resikan	002_Positive
rempa	002_Positive
remakes	002_Positive
relese	002_Positive
releasing	002_Positive
reference	002_Positive
ratsasan	002_Positive
rasigargalin	002_Positive
rasiganin	002_Positive
rasiganda	002_Positive
rasichi	002_Positive
ranga	002_Positive
rajniya	002_Positive
rajkumar	002_Positive
rajiniku	002_Positive
rahuman	002_Positive
raa	002_Positive
puyal	002_Positive
puthiya	002_Positive
purinjikonga	002_Positive
pullarikithu	002_Positive
pudusa	002_Positive
pudiche	002_Positive
pudhunagar	002_Positive
public	002_Positive
pre	002_Positive
pray	002_Positive
praksh	002_Positive
ppaahh	002_Positive
povum	002_Positive
pottavangalaam	002_Positive
pottavaga	002_Positive
potra	002_Positive
poten	002_Positive
postpone	002_Positive
porvanga	002_Positive
porundhum	002_Positive
porome	002_Positive
porathu	002_Positive
poranu	002_Positive
porama	002_Positive
poraa	002_Positive
pooram	002_Positive
poodu	002_Positive
poniga	002_Positive
pongalu	002_Positive
pongalo	002_Positive
pongadaa	002_Positive
polladha	002_Positive
poli	002_Positive
polam	002_Positive
poitanga	002_Positive
poh	002_Positive
pogo	002_Positive
podungka	002_Positive
podungha	002_Positive
podhe	002_Positive
podathinga	002_Positive
podanumnu	002_Positive
plse	002_Positive
pl	002_Positive
pistha	002_Positive
pinraaru	002_Positive
pinnitinga	002_Positive
pinneyum	002_Positive
piducha	002_Positive
pidichuruku	002_Positive
pha	002_Positive
pesuriya	002_Positive
pesuraga	002_Positive
pesura	002_Positive
pesi	002_Positive
perumaiya	002_Positive
peria	002_Positive
pei	002_Positive
pedal	002_Positive
pathutom	002_Positive
pathum	002_Positive
paththathu	002_Positive
pathittom	002_Positive
patheenga	002_Positive
pathe	002_Positive
pathan	002_Positive
pathadhu	002_Positive
pathachi	002_Positive
patamari	002_Positive
paruppu	002_Positive
parraakk	002_Positive
panuvan	002_Positive
panurum	002_Positive
pantravanga	002_Positive
panriga	002_Positive
panravn	002_Positive
pannuvom	002_Positive
pannunalum	002_Positive
pannukaa	002_Positive
pannom	002_Positive
pannita	002_Positive
pannirkaru	002_Positive
pannathinga	002_Positive
pannalum	002_Positive
pannadhuke	002_Positive
pannadhinga	002_Positive
pangu	002_Positive
pangalinga	002_Positive
pangaligalaa	002_Positive
pangal	002_Positive
pandrom	002_Positive
pandrenga	002_Positive
pallu	002_Positive
palaiya	002_Positive
pakurom	002_Positive
pakkaravanga	002_Positive
pakatha	002_Positive
pakaren	002_Positive
pakaravanga	002_Positive
pakaporom	002_Positive
paer	002_Positive
paduthurenga	002_Positive
padum	002_Positive
padipai	002_Positive
padathila	002_Positive
padanum	002_Positive
padamae	002_Positive
padaipuya	002_Positive
padai	002_Positive
paathitu	002_Positive
paathavunga	002_Positive
paathan	002_Positive
paathachu	002_Positive
paarvaiya	002_Positive
paarthalum	002_Positive
paappa	002_Positive
paakrapa	002_Positive
paakala	002_Positive
ozm	002_Positive
ovvonrum	002_Positive
ovoru	002_Positive
overtake	002_Positive
orutar	002_Positive
onga	002_Positive
oduma	002_Positive
odee	002_Positive
nov	002_Positive
nna	002_Positive
niraiyaa	002_Positive
nimirnthu	002_Positive
nimirndhu	002_Positive
nillunga	002_Positive
nilluda	002_Positive
nikkuthu	002_Positive
nijamave	002_Positive
netha	002_Positive
nerkoonda	002_Positive
nerathula	002_Positive
nengala	002_Positive
nenaikiravage	002_Positive
nenaikiraen	002_Positive
nenaikira	002_Positive
nenaichen	002_Positive
neinga	002_Positive
neeyum	002_Positive
neer	002_Positive
neenka	002_Positive
neeinga	002_Positive
neegala	002_Positive
navajuddin	002_Positive
nasam	002_Positive
narayaa	002_Positive
nani	002_Positive
nangge	002_Positive
nampa	002_Positive
nammatta	002_Positive
namkitta	002_Positive
nambha	002_Positive
namaa	002_Positive
nallathan	002_Positive
nalai	002_Positive
naikiravaga	002_Positive
naeraiya	002_Positive
nadipuku	002_Positive
nadippuku	002_Positive
nadikuraru	002_Positive
nadikave	002_Positive
nadichirkaaru	002_Positive
nadichaa	002_Positive
nadakkadhu	002_Positive
nadakkaadhu	002_Positive
nadakaathu	002_Positive
nad	002_Positive
naaval	002_Positive
naatla	002_Positive
naaluku	002_Positive
naaga	002_Positive
mudiyuthu	002_Positive
mudiyumaa	002_Positive
mudiya	002_Positive
mudinja	002_Positive
mrg	002_Positive
moratu	002_Positive
month	002_Positive
minimum	002_Positive
military	002_Positive
milestone	002_Positive
midiyathu	002_Positive
mezhuguvarthi	002_Positive
mervin	002_Positive
meratti	002_Positive
meow	002_Positive
meme	002_Positive
mee	002_Positive
maxx	002_Positive
mattumey	002_Positive
matom	002_Positive
masterpiece	002_Positive
marupadium	002_Positive
mariye	002_Positive
maravilai	002_Positive
marano	002_Positive
mankatha	002_Positive
manikku	002_Positive
male	002_Positive
makal	002_Positive
maga	002_Positive
maela	002_Positive
madhurai	002_Positive
maassaa	002_Positive
maasam	002_Positive
maarana	002_Positive
maadhri	002_Positive
lvee	002_Positive
lum	002_Positive
loving	002_Positive
lost	002_Positive
listen	002_Positive
lindhu	002_Positive
likers	002_Positive
lehh	002_Positive
law	002_Positive
kuti	002_Positive
kumara	002_Positive
kuduthadhuku	002_Positive
kudukkurar	002_Positive
kudaathu	002_Positive
kubeer	002_Positive
kovilpatti	002_Positive
kovama	002_Positive
kosam	002_Positive
korayave	002_Positive
korai	002_Positive
konten	002_Positive
kolle	002_Positive
kolaveri	002_Positive
kolantha	002_Positive
kokki	002_Positive
koduka	002_Positive
kodadhu	002_Positive
kilaputhu	002_Positive
kiduvanunga	002_Positive
kichcha	002_Positive
khoo	002_Positive
kevalamaa	002_Positive
kettingala	002_Positive
kekum	002_Positive
kekaa	002_Positive
kedikum	002_Positive
kedaiyathu	002_Positive
kedaikanum	002_Positive
kazhuthula	002_Positive
kavalom	002_Positive
katuringa	002_Positive
katuranga	002_Positive
kattrathukaga	002_Positive
kattanu	002_Positive
katrom	002_Positive
katringa	002_Positive
katrathuku	002_Positive
katrathu	002_Positive
katitinga	002_Positive
katitaru	002_Positive
kathuko	002_Positive
kathu	002_Positive
kathirukkanum	002_Positive
katharalgal	002_Positive
katalam	002_Positive
karu	002_Positive
karanunga	002_Positive
karanam	002_Positive
kanyakumari	002_Positive
kannadiga	002_Positive
kanmadam	002_Positive
kandasamy	002_Positive
kammika	002_Positive
kamicha	002_Positive
kalasa	002_Positive
kalakku	002_Positive
kalakkal	002_Positive
kairu	002_Positive
kadavur	002_Positive
kadasiya	002_Positive
kaatturathukku	002_Positive
kaatraru	002_Positive
kaatran	002_Positive
kaapaan	002_Positive
kaanom	002_Positive
kaandla	002_Positive
kaakum	002_Positive
jump	002_Positive
judgement	002_Positive
jst	002_Positive
jr	002_Positive
jollyy	002_Positive
join	002_Positive
john	002_Positive
jio	002_Positive
jaasthi	002_Positive
iyo	002_Positive
ivolo	002_Positive
ituku	002_Positive
ithuve	002_Positive
ithey	002_Positive
iruu	002_Positive
irundhuchu	002_Positive
irundhom	002_Positive
irundhen	002_Positive
irul	002_Positive
irukkaa	002_Positive
irukengaa	002_Positive
irukenga	002_Positive
irukena	002_Positive
irukean	002_Positive
irukathunu	002_Positive
irukathu	002_Positive
irukara	002_Positive
irukae	002_Positive
irruntha	002_Positive
irrukka	002_Positive
irrukinga	002_Positive
irrukanum	002_Positive
irnthu	002_Positive
irndha	002_Positive
irkeenga	002_Positive
irikke	002_Positive
ippove	002_Positive
ipove	002_Positive
ipdithan	002_Positive
innorutharai	002_Positive
innaiki	002_Positive
information	002_Positive
indru	002_Positive
impact	002_Positive
illea	002_Positive
illayada	002_Positive
illayaa	002_Positive
ilamai	002_Positive
ilaiya	002_Positive
ilah	002_Positive
hyderabad	002_Positive
hoursku	002_Positive
hittu	002_Positive
high	002_Positive
hence	002_Positive
help	002_Positive
hehehe	002_Positive
headphones	002_Positive
hatsoff	002_Positive
happa	002_Positive
hahahahaha	002_Positive
haasan	002_Positive
guyzz	002_Positive
groups	002_Positive
grace	002_Positive
gr8	002_Positive
goes	002_Positive
gnabagam	002_Positive
given	002_Positive
gift	002_Positive
getting	002_Positive
geththu	002_Positive
geththa	002_Positive
george	002_Positive
generation	002_Positive
gb	002_Positive
fst	002_Positive
friend	002_Positive
frank	002_Positive
folk	002_Positive
flims	002_Positive
feet	002_Positive
fails	002_Positive
fabulous	002_Positive
f	002_Positive
extraordinary	002_Positive
experience	002_Positive
ewanda	002_Positive
evil	002_Positive
evening	002_Positive
evanume	002_Positive
ethoo	002_Positive
ethilium	002_Positive
ethavthu	002_Positive
ethala	002_Positive
erundha	002_Positive
erruku	002_Positive
erinji	002_Positive
equal	002_Positive
eppovom	002_Positive
eppavumey	002_Positive
epidi	002_Positive
epic	002_Positive
epdithan	002_Positive
enthirucha	002_Positive
ente	002_Positive
enough	002_Positive
ennakume	002_Positive
enjoyed	002_Positive
endrathu	002_Positive
enbar	002_Positive
emotional	002_Positive
elunthu	002_Positive
eluntha	002_Positive
ellarukkum	002_Positive
ellaa	002_Positive
eduthukuvanga	002_Positive
eduthukkave	002_Positive
edunga	002_Positive
education	002_Positive
edhala	002_Positive
eapavum	002_Positive
eanna	002_Positive
eaga	002_Positive
dupar	002_Positive
ds	002_Positive
district	002_Positive
directora	002_Positive
dilog	002_Positive
dikha	002_Positive
dhoom	002_Positive
dhaush	002_Positive
dhanushh	002_Positive
dhanusha	002_Positive
dhane	002_Positive
deivamae	002_Positive
december	002_Positive
deadly	002_Positive
dd	002_Positive
data	002_Positive
daaww	002_Positive
crossed	002_Positive
crores	002_Positive
creators	002_Positive
create	002_Positive
complete	002_Positive
commentla	002_Positive
command	002_Positive
coffee	002_Positive
chiranjeevi	002_Positive
childhood	002_Positive
cheyandi	002_Positive
chellam	002_Positive
chechii	002_Positive
che	002_Positive
changing	002_Positive
cgi	002_Positive
celebration	002_Positive
celebrate	002_Positive
caprio	002_Positive
butten	002_Positive
bore	002_Positive
boos	002_Positive
booked	002_Positive
boneykapoor	002_Positive
bond	002_Positive
bless	002_Positive
blackbuster	002_Positive
bigiloda	002_Positive
bhaa	002_Positive
bgms	002_Positive
bestu	002_Positive
behalf	002_Positive
beautiful	002_Positive
beard	002_Positive
bayagarama	002_Positive
ball	002_Positive
bala	002_Positive
badhil	002_Positive
backk	002_Positive
baasha	002_Positive
azhikka	002_Positive
azhika	002_Positive
awardum	002_Positive
awarda	002_Positive
awaiting	002_Positive
avangaloda	002_Positive
avane	002_Positive
avaga	002_Positive
attendance	002_Positive
atrack	002_Positive
athukula	002_Positive
athirum	002_Positive
athiradi	002_Positive
askar	002_Positive
asinge	002_Positive
asingapaduthringa	002_Positive
asaikka	002_Positive
appathan	002_Positive
appadiyellam	002_Positive
apadilam	002_Positive
annanoda	002_Positive
alunga	002_Positive
allways	002_Positive
alaguu	002_Positive
akshaykumar	002_Positive
akhsay	002_Positive
akanum	002_Positive
ajithku	002_Positive
agudu	002_Positive
advice	002_Positive
adv	002_Positive
adithu	002_Positive
adikum	002_Positive
adigama	002_Positive
adichutan	002_Positive
adichuka	002_Positive
adhuthu	002_Positive
adhunala	002_Positive
adhichu	002_Positive
addict	002_Positive
adaya	002_Positive
adavadi	002_Positive
adatha	002_Positive
adangaatha	002_Positive
achi	002_Positive
abi	002_Positive
aatadha	002_Positive
aasuran	002_Positive
aaluku	002_Positive
aalukku	002_Positive
aalaya	002_Positive
aakathu	002_Positive
aaha	002_Positive
aagi	002_Positive
aagama	002_Positive
aadum	002_Positive
^	002_Positive
851k	002_Positive
80s	002_Positive
801k	002_Positive
7m	002_Positive
74k	002_Positive
700	002_Positive
6pm	002_Positive
67	002_Positive
5million	002_Positive
5k	002_Positive
5hr	002_Positive
4th	002_Positive
4days	002_Positive
49	002_Positive
3rd	002_Positive
36k	002_Positive
34	002_Positive
314k	002_Positive
30k	002_Positive
2million	002_Positive
26	002_Positive
25k	002_Positive
250k	002_Positive
240k	002_Positive
23k	002_Positive
2050	002_Positive
2004	002_Positive
19m	002_Positive
199k	002_Positive
14k	002_Positive
145k	002_Positive
10times	002_Positive
100m	002_Positive
zimmer	002_Positive
younger	002_Positive
yeppaa	002_Positive
yae	002_Positive
wooww	002_Positive
vum	002_Positive
vaitherichal	002_Positive
try	002_Positive
thalaivana	002_Positive
saavan	002_Positive
pu	002_Positive
poganum	002_Positive
piece	002_Positive
payangara	002_Positive
manam	002_Positive
leh	002_Positive
kumaru	002_Positive
irupan	002_Positive
headset	002_Positive
example	002_Positive
erukan	002_Positive
endgame	002_Positive
dae	002_Positive
challenge	002_Positive
buildup	002_Positive
bigboss	002_Positive
being	002_Positive
agi	002_Positive
years	002_Positive
sona	002_Positive
poranga	002_Positive
manithan	002_Positive
editing	002_Positive
aama	002_Positive
kadha	002_Positive
bayam	002_Positive
varaikkum	002_Positive
pubg	002_Positive
weight	002_Positive
heavy	002_Positive
charan	002_Positive
base	002_Positive
when	002_Positive
vadivelu	002_Positive
trailerla	002_Positive
thoda	002_Positive
thaniya	002_Positive
subject	002_Positive
siripu	002_Positive
pannathu	002_Positive
open	002_Positive
mudi	002_Positive
maariye	002_Positive
maanam	002_Positive
inge	002_Positive
industry	002_Positive
concept	002_Positive
caste	002_Positive
avunga	002_Positive
aagathu	002_Positive
yogi	002_Positive
yentha	002_Positive
vayasana	002_Positive
twinkle	002_Positive
step	002_Positive
similar	002_Positive
rajiniya	002_Positive
puthusa	002_Positive
presence	002_Positive
pannirukalam	002_Positive
pakathane	002_Positive
paduthu	002_Positive
padame	002_Positive
millions	002_Positive
key	002_Positive
ketu	002_Positive
innoruthare	002_Positive
important	002_Positive
half	002_Positive
had	002_Positive
guru	002_Positive
excited	002_Positive
enagada	002_Positive
athuvum	002_Positive
150k	002_Positive
solluvanga	002_Positive
pavan	002_Positive
irukkanga	002_Positive
aakuthu	002_Positive
soldra	002_Positive
illana	002_Positive
hate	002_Positive
reddy	002_Positive
pole	002_Positive
maathri	002_Positive
ivana	002_Positive
irukkinga	002_Positive
herova	002_Positive
eppudi	002_Positive
enamo	002_Positive
dc	002_Positive
ayo	002_Positive
yaarelam	002_Positive
wake	002_Positive
veriyana	002_Positive
vanthavangala	002_Positive
thavara	002_Positive
thatra	002_Positive
thanni	002_Positive
thalapthy	002_Positive
thailaivar	002_Positive
tending	002_Positive
sub	002_Positive
sethubathi	002_Positive
series	002_Positive
seathupathi	002_Positive
rls	002_Positive
reminds	002_Positive
potadhu	002_Positive
podunka	002_Positive
pannura	002_Positive
pakala	002_Positive
online	002_Positive
nii	002_Positive
needed	002_Positive
nanu	002_Positive
mudilaye	002_Positive
ms	002_Positive
mothala	002_Positive
media	002_Positive
makkale	002_Positive
lokeshkanagaraj	002_Positive
leve	002_Positive
kick	002_Positive
kanakaraj	002_Positive
kaalaila	002_Positive
irukaa	002_Positive
iku	002_Positive
hmm	002_Positive
gintiment	002_Positive
epdii	002_Positive
enkita	002_Positive
commend	002_Positive
bayangarama	002_Positive
athe	002_Positive
28k	002_Positive
22	002_Positive
funny	002_Positive
yarru	002_Positive
vsp	002_Positive
vijai	002_Positive
vidamatten	002_Positive
pudikkum	002_Positive
pathaa	002_Positive
paraakk	002_Positive
paisa	002_Positive
kuduka	002_Positive
jithu	002_Positive
ironman	002_Positive
enge	002_Positive
chancey	002_Positive
aale	002_Positive
700k	002_Positive
400	002_Positive
oka	002_Positive
mudiyaadhu	002_Positive
irunthaalum	002_Positive
8k	002_Positive
58	002_Positive
yaarukellam	002_Positive
varama	002_Positive
vantheenga	002_Positive
thaane	002_Positive
tamilrockers	002_Positive
peruku	002_Positive
pakama	002_Positive
nxt	002_Positive
nga	002_Positive
liked	002_Positive
kodathu	002_Positive
innoruthavangala	002_Positive
frds	002_Positive
attam	002_Positive
agama	002_Positive
ae	002_Positive
yaaro	002_Positive
vazhi	002_Positive
varma	002_Positive
uff	002_Positive
thlaiva	002_Positive
tell	002_Positive
takkar	002_Positive
raksha	002_Positive
podaa	002_Positive
paathe	002_Positive
lena	002_Positive
ith	002_Positive
crash	002_Positive
click	002_Positive
ap	002_Positive
amir	002_Positive
abhi	002_Positive
vanda	002_Positive
item	002_Positive
dah	002_Positive
54	002_Positive
makeup	002_Positive
patta	002_Positive
lit	002_Positive
group	002_Positive
fr	002_Positive
enjoy	002_Positive
zee	002_Positive
yevanum	002_Positive
yetha	002_Positive
yendha	002_Positive
yeduthu	002_Positive
vidrom	002_Positive
venalum	002_Positive
vayiru	002_Positive
vasikaran	002_Positive
vangada	002_Positive
vandhalum	002_Positive
vaaya	002_Positive
una	002_Positive
udunga	002_Positive
thonala	002_Positive
thiruttu	002_Positive
therinjavan	002_Positive
thaliver	002_Positive
thaladan	002_Positive
taramana	002_Positive
subecribe	002_Positive
spiderman	002_Positive
special	002_Positive
sollravanga	002_Positive
sinna	002_Positive
sekiram	002_Positive
save	002_Positive
sasi	002_Positive
sangatamizhan	002_Positive
samuga	002_Positive
realy	002_Positive
pudikala	002_Positive
poya	002_Positive
potti	002_Positive
potrukalam	002_Positive
poothum	002_Positive
podungaa	002_Positive
poddu	002_Positive
podanum	002_Positive
pochi	002_Positive
payum	002_Positive
patthu	002_Positive
pathitu	002_Positive
parkalam	002_Positive
pannunka	002_Positive
pannungada	002_Positive
pannavanlam	002_Positive
pakke	002_Positive
pakkava	002_Positive
pakkathana	002_Positive
paithiya	002_Positive
pair	002_Positive
paid	002_Positive
paaraakk	002_Positive
paaraak	002_Positive
paakama	002_Positive
orae	002_Positive
oduna	002_Positive
ninaikiren	002_Positive
nethu	002_Positive
nallathu	002_Positive
nah	002_Positive
nadigar	002_Positive
murattu	002_Positive
mudiyama	002_Positive
modified	002_Positive
modhi	002_Positive
mattanga	002_Positive
matiri	002_Positive
maranama	002_Positive
manusanuku	002_Positive
lub	002_Positive
loved	002_Positive
layum	002_Positive
lavel	002_Positive
kudunga	002_Positive
karantaka	002_Positive
kannadigas	002_Positive
kanmadham	002_Positive
kalai	002_Positive
kaappaan	002_Positive
irukkunu	002_Positive
irukaaru	002_Positive
irrundha	002_Positive
ipudi	002_Positive
ippudi	002_Positive
illaiyo	002_Positive
human	002_Positive
hater	002_Positive
hans	002_Positive
grand	002_Positive
favourite	002_Positive
fansku	002_Positive
eppothum	002_Positive
engayo	002_Positive
edit	002_Positive
ea	002_Positive
darshan	002_Positive
confirmed	002_Positive
chutti	002_Positive
bit	002_Positive
bikil	002_Positive
balance	002_Positive
appan	002_Positive
appadiyae	002_Positive
anyways	002_Positive
alludhu	002_Positive
adicha	002_Positive
adhigam	002_Positive
38k	002_Positive
2point0	002_Positive
yaravathu	002_Positive
yaravadhu	002_Positive
yanga	002_Positive
verila	002_Positive
vendiya	002_Positive
veinga	002_Positive
thooki	002_Positive
tholla	002_Positive
there	002_Positive
thalayum	002_Positive
thalaivaruku	002_Positive
th	002_Positive
supera	002_Positive
srk	002_Positive
sollanumna	002_Positive
sampavam	002_Positive
pooi	002_Positive
panala	002_Positive
naren	002_Positive
munji	002_Positive
mel	002_Positive
mathiriye	002_Positive
kavalan	002_Positive
kadasila	002_Positive
inimel	002_Positive
got	002_Positive
gets	002_Positive
eppaa	002_Positive
editor	002_Positive
direct	002_Positive
cha	002_Positive
cast	002_Positive
bobby	002_Positive
annante	002_Positive
ad	002_Positive
4k	002_Positive
yesterday	002_Positive
yeppavume	002_Positive
worldwide	002_Positive
women	002_Positive
weeks	002_Positive
walking	002_Positive
waitting	002_Positive
vuduranda	002_Positive
viswasathukku	002_Positive
visvasatha	002_Positive
veliya	002_Positive
vayasulayum	002_Positive
varutha	002_Positive
varu	002_Positive
varai	002_Positive
varadu	002_Positive
vakkil	002_Positive
vaada	002_Positive
unmai	002_Positive
understand	002_Positive
turns	002_Positive
trendingla	002_Positive
tickets	002_Positive
thn	002_Positive
theeran	002_Positive
thatha	002_Positive
tension	002_Positive
takkaru	002_Positive
supr	002_Positive
soru	002_Positive
solluravunga	002_Positive
sindhanayum	002_Positive
shit	002_Positive
she	002_Positive
sharp	002_Positive
screenla	002_Positive
sarja	002_Positive
sapta	002_Positive
sandhosama	002_Positive
rockzz	002_Positive
ringa	002_Positive
respect	002_Positive
rendum	002_Positive
ps	002_Positive
prove	002_Positive
production	002_Positive
prabhas	002_Positive
porunga	002_Positive
ponalum	002_Positive
poduka	002_Positive
plus	002_Positive
phoenix	002_Positive
pawankalyan	002_Positive
pathiya	002_Positive
paruda	002_Positive
pannitanga	002_Positive
pakkathula	002_Positive
paduthuriga	002_Positive
paduthanum	002_Positive
padamna	002_Positive
pack	002_Positive
paathen	002_Positive
paakuravanga	002_Positive
paakura	002_Positive
outstanding	002_Positive
odhingiru	002_Positive
nkpku	002_Positive
ninnu	002_Positive
ninaikuravanga	002_Positive
nenaikiren	002_Positive
negative	002_Positive
nadikiraru	002_Positive
nadigan	002_Positive
nadakkathu	002_Positive
naale	002_Positive
naalaiku	002_Positive
mutual	002_Positive
mudiyalaye	002_Positive
moonchi	002_Positive
minute	002_Positive
mariya	002_Positive
marie	002_Positive
mara	002_Positive
manushana	002_Positive
maniku	002_Positive
mangatha	002_Positive
mammootty	002_Positive
maintain	002_Positive
maadi	002_Positive
loves	002_Positive
lord	002_Positive
ll	002_Positive
kudukkum	002_Positive
kojam	002_Positive
karanama	002_Positive
kalathula	002_Positive
kaathuttu	002_Positive
isai	002_Positive
irupaaru	002_Positive
irunga	002_Positive
irumbu	002_Positive
irukumo	002_Positive
irukudhu	002_Positive
irukingala	002_Positive
irukey	002_Positive
iruk	002_Positive
ipdina	002_Positive
ino	002_Positive
ground	002_Positive
follow	002_Positive
far	002_Positive
evanalum	002_Positive
epavume	002_Positive
edo	002_Positive
edhukku	002_Positive
dedicated	002_Positive
dboss	002_Positive
cool	002_Positive
career	002_Positive
bodhu	002_Positive
bigilu	002_Positive
bathila	002_Positive
bass	002_Positive
avlova	002_Positive
apro	002_Positive
annavukku	002_Positive
aka	002_Positive
aii	002_Positive
agust	002_Positive
adeii	002_Positive
actually	002_Positive
accept	002_Positive
aaguma	002_Positive
aachi	002_Positive
44	002_Positive
35	002_Positive
300k	002_Positive
26k	002_Positive
100times	002_Positive
yerudhey	002_Negative
yenya	002_Negative
yedho	002_Negative
yaaruda	002_Negative
wara	002_Negative
waight	002_Negative
viswasi	002_Negative
varumo	002_Negative
vaparam	002_Negative
vandumurugan	002_Negative
vadai	002_Negative
vaangura	002_Negative
vaai	002_Negative
ugly	002_Negative
trailara	002_Negative
thalaivarku	002_Negative
thaanu	002_Negative
tailarukkum	002_Negative
swamy	002_Negative
sutti	002_Negative
sugar	002_Negative
srihari	002_Negative
soothula	002_Negative
solrathuku	002_Negative
soldraru	002_Negative
sleeper	002_Negative
silukku	002_Negative
short	002_Negative
serious	002_Negative
savunkada	002_Negative
savaan	002_Negative
saavalam	002_Negative
resembling	002_Negative
reality	002_Negative
pundaiku	002_Negative
pundaikala	002_Negative
pundaa	002_Negative
pro	002_Negative
