text	category	text	category
i am str lood nkp vera level thala mass	Positive	i am str lood nkp vera level thala mass	Positive
ajith morratu veriyans hit like here guys	Positive	ajith morratu veriyans hit like here guys	Positive
45k dislike kunji boy fans	Positive	45k dislike kunji boy fans	Negative
trailer therikudhu thool parakudhu coming pongalukku petta paaraak	Positive	trailer therikudhu thool parakudhu coming pongalukku petta paaraak	Negative
vs annan eppothum semma love from kerala	Positive	vs annan eppothum semma love from kerala	Positive
trailer hey pakka verithanama iruku padam epudi iruka pothey intha deepavali kaithi deepavali than	Positive	trailer hey pakka verithanama iruku padam epudi iruka pothey intha deepavali kaithi deepavali than	Positive
oruthar mela neenga visvasam kaatrathukaaga inorthara yen neenga asingapaduthringa thala	Positive	oruthar mela neenga visvasam kaatrathukaaga inorthara yen neenga asingapaduthringa thala	Positive
ajith fans dislike panna mattum pongal ku varama poiduvom ah	Positive	ajith fans dislike panna mattum pongal ku varama poiduvom ah	Positive
thalaivan yeppavume vera level tha	Positive	thalaivan yeppavume vera level tha	Positive
thala mass eva enna venalum sollatum engaluku bayam illa	Positive	thala mass eva enna venalum sollatum engaluku bayam illa	Positive
sivakarthikeyan kerala fans hit like	Positive	sivakarthikeyan kerala fans hit like	unknown_state
karthik amazing thalaiver rajini so young look semma pongal marana mass than	Positive	karthik amazing thalaiver rajini so young look semma pongal marana mass than	Positive
mass semmayya iruggu super star style mass than	Positive	mass semmayya iruggu super star style mass than	Positive
thala in nerkondaparvai padam vetri pera thalaivar rasigargalin sarbaga valthukal	Positive	thala in nerkondaparvai padam vetri pera thalaivar rasigargalin sarbaga valthukal	Positive
sema sema ajith na pakka mass	Positive	sema sema ajith na pakka mass	Positive
jai thalaiva 68 la superb style	Positive	jai thalaiva 68 la superb style	Positive
enna da jentelman padatha thirumbha eaduthu vachirukkinga	Positive	enna da jentelman padatha thirumbha eaduthu vachirukkinga	Mixed_feelings
ennangada kgf bgm ha modify pannittingala	Negative	ennangada kgf bgm ha modify pannittingala	Negative
guys dailyu atleast 10 times aavathu paarunga please views romba kamiyya irukku	Positive	guys dailyu atleast 10 times aavathu paarunga please views romba kamiyya irukku	Negative
thalaiwaa va va va ipo vaangadaww	Positive	thalaiwaa va va va ipo vaangadaww	Positive
hero movie trailer evolo peru wait pandringa like pannunga	Positive	hero movie trailer evolo peru wait pandringa like pannunga	unknown_state
petta visvasam pongal get ready fans parraakksampavam sirappu	Positive	petta visvasam pongal get ready fans parraakksampavam sirappu	Positive
2 0 trailer likes 24 hrs tamil 369k likes hindi 367k likes telugu 143k likes total 879k likes	Positive	2 0 trailer likes 24 hrs tamil 369k likes hindi 367k likes telugu 143k likes total 879k likes	Mixed_feelings
lokesh kanagaraj kaga trailer partha vanga like ethukku na thalapathy 64 waiting	Positive	lokesh kanagaraj kaga trailer partha vanga like ethukku na thalapathy 64 waiting	unknown_state
thala da vera evan da	Positive	thala da vera evan da	Mixed_feelings
thalaivar padam velli villa kaana valthukkal by thala veriyan venkat	Positive	thalaivar padam velli villa kaana valthukkal by thala veriyan venkat	Positive
dhanush fans mattum like here	Positive	dhanush fans mattum like here	Positive
enna ba innam trending la ye varala	Positive	enna ba innam trending la ye varala	Mixed_feelings
viswasam trailer parthutu nera inga varavungala hit likes	Positive	viswasam trailer parthutu nera inga varavungala hit likes	unknown_state
pink remake than but paravalla thala nala pakalam	Positive	pink remake than but paravalla thala nala pakalam	Positive
enna da elarum vanda vandaya kilicha aprom trend aagudhu sun pictures kekadha kadhuku headset ah	Negative	enna da elarum vanda vandaya kilicha aprom trend aagudhu sun pictures kekadha kadhuku headset ah	Negative
thala are you vergin viewers ahaa naama play boy girl nu ivarakkum terinchiduchaa	Positive	thala are you vergin viewers ahaa naama play boy girl nu ivarakkum terinchiduchaa	Negative
nkp kaasukudhu viewsa buy panala idhu nearmaaiya kidaitha views	Positive	nkp kaasukudhu viewsa buy panala idhu nearmaaiya kidaitha views	Positive
q a q q q nhi upload krte ho yaar my rajni boss	Positive	q a q q q nhi upload krte ho yaar my rajni boss	Negative
nanum movie paka kola gandu la iruken	Positive	nanum movie paka kola gandu la iruken	Positive
nangge thala fans da vijay 63 kuda nangge support panuvum tamilan da ennore tamilanne kille thaliyude mathum	Positive	nangge thala fans da vijay 63 kuda nangge support panuvum tamilan da ennore tamilanne kille thaliyude mathum	Positive
sema trailer a shankar sir film bgm sema	Positive	sema trailer a shankar sir film bgm sema	Positive
innum neraya neraya neraya likes varranum	Positive	innum neraya neraya neraya likes varranum	Positive
vera level sk anna marana waiting anna movie ku	Positive	vera level sk anna marana waiting anna movie ku	Negative
thala vera level u1ana bgm bangam da	Positive	thala vera level u1ana bgm bangam da	Positive
marana mass full an full vera leval entry	Positive	marana mass full an full vera leval entry	Positive
trending no 1 varanum thala fans	Positive	trending no 1 varanum thala fans	Positive
pink movie ajith sir version	Positive	pink movie ajith sir version	Positive
thalaivar oda style mass yella ithu la tha muzhusa pakka porom romba naal appro	Positive	thalaivar oda style mass yella ithu la tha muzhusa pakka porom romba naal appro	Positive
mss thala yanga kadaul thala	Positive	mss thala yanga kadaul thala	Mixed_feelings
adei ethukuda intha velai	Negative	adei ethukuda intha velai	Negative
enrum thala ajith enrum thala thala thala thalathan solaravanga ellarum oru like podunga	Positive	enrum thala ajith enrum thala thala thala thalathan solaravanga ellarum oru like podunga	Positive
72 k view 76 k like	Positive	72 k view 76 k like	Mixed_feelings
sema vfx shankar sir great	Positive	sema vfx shankar sir great	Positive
ena da thala trailer trending num 2 nu kaatuthu y yena achu	Positive	ena da thala trailer trending num 2 nu kaatuthu y yena achu	Positive
neenga vilayatunathu enkita illa eman kita super dialogue	Positive	neenga vilayatunathu enkita illa eman kita super dialogue	Positive
neraya neraya neraya neraya neraya neraya	Positive	neraya neraya neraya neraya neraya neraya	Positive
mark my words tamil cinema ku set agathu oru padam	Positive	mark my words tamil cinema ku set agathu oru padam	Negative
vera level yaaru ellam marana waiting la irrukkurathu	Positive	vera level yaaru ellam marana waiting la irrukkurathu	Positive
theater kaliyala ranakalam avapothu thalaiver rockss	Positive	theater kaliyala ranakalam avapothu thalaiver rockss	Positive
trailer nalla irukke super thalaiva rajini young ah irukkar	Positive	trailer nalla irukke super thalaiva rajini young ah irukkar	Negative
viswasam vs petta tharamana sambavam iruku	Positive	viswasam vs petta tharamana sambavam iruku	Mixed_feelings
petta parak thalaivaa we love you	Positive	petta parak thalaivaa we love you	Positive
paa thaaru maaru thala	Positive	paa thaaru maaru thala	Positive
veraa maari acting ah paakka poringa guys	Positive	veraa maari acting ah paakka poringa guys	Positive
i want u1 luv song pls	Positive	i want u1 luv song pls	Positive
akshay kumar ku pathila selfie sivakumar aa potrukalam character perfect a suit aagum	Positive	akshay kumar ku pathila selfie sivakumar aa potrukalam character perfect a suit aagum	Negative
rangaraj pandey rockzz welcome to tamil cinema	Positive	rangaraj pandey rockzz welcome to tamil cinema	Positive
thala 60 ku yaru waiting panriga like pannuga	Positive	thala 60 ku yaru waiting panriga like pannuga	Positive
bgm vera level iruku u1 love u	Positive	bgm vera level iruku u1 love u	Positive
itna ghatiya hai trailar lag raha hai ko tv serial dekh rahe hai thu hai aise trailar par	not-malayalam/tamil	itna ghatiya hai trailar lag raha hai ko tv serial dekh rahe hai thu hai aise trailar par	Negative
lets give a like for nerkonda paarvai	Positive	lets give a like for nerkonda paarvai	Positive
arjun real hero super sir salute sir	Positive	arjun real hero super sir salute sir	Mixed_feelings
thala acting king nkp vera level mass	Positive	thala acting king nkp vera level mass	Positive
pakka thala i luv u by surya fan	Positive	pakka thala i luv u by surya fan	Positive
ovvoru framum supera iruku vaazhtukkal shankar sir	Positive	ovvoru framum supera iruku vaazhtukkal shankar sir	Mixed_feelings
0 51 sec hollywood level la iruku	Positive	0 51 sec hollywood level la iruku	Negative
dei yennathan negative a sonnalum thala orutharukaga padam hit aagum aathuku naanga irukom	Positive	dei yennathan negative a sonnalum thala orutharukaga padam hit aagum aathuku naanga irukom	Positive
kaipulla vijay twitter la trending agudhu	Positive	kaipulla vijay twitter la trending agudhu	Positive
yarellam neraya neraya neraya thadava pakuringa	Positive	yarellam neraya neraya neraya thadava pakuringa	Positive
thala mass i love you anna	Positive	thala mass i love you anna	Positive
ethuna peru enga advocates irukiga pullaarikuthu scene lam	Positive	ethuna peru enga advocates irukiga pullaarikuthu scene lam	Positive
padam vera level la irukkum pola conform 250 crores box office	Positive	padam vera level la irukkum pola conform 250 crores box office	Positive
apdiyellam nadakadhu nadaka koodadhu look at his eyes wow	Positive	apdiyellam nadakadhu nadaka koodadhu look at his eyes wow	Mixed_feelings
ellam ok ana last la dha	Positive	ellam ok ana last la dha	Positive
mass na mass pakka mass petta trailer	Positive	mass na mass pakka mass petta trailer	Positive
mass thala appidi onnum nadakka koodathu ho ho ho fantastic	Positive	mass thala appidi onnum nadakka koodathu ho ho ho fantastic	Positive
vijay sukran padathula vantha maari thala nkp la	Positive	vijay sukran padathula vantha maari thala nkp la	Mixed_feelings
give one like to rajnikanth fans	Positive	give one like to rajnikanth fans	Positive
real time 5million views petta paraak	Positive	real time 5million views petta paraak	Positive
thalaivar is only one super one thalaivaa	Positive	thalaivar is only one super one thalaivaa	Positive
thala ajith kumar sir nerkondapaarvai marana waiting da	Positive	thala ajith kumar sir nerkondapaarvai marana waiting da	Positive
thalada thalaya minja tamil naatla veara ewanda	Positive	thalada thalaya minja tamil naatla veara ewanda	Positive
664 k likes vanthuru marana mass thalaiver verithanam	Positive	664 k likes vanthuru marana mass thalaiver verithanam	Positive
moratu mass karthi sam done good	Positive	moratu mass karthi sam done good	Positive
the one and only mr akshay kumar	Positive	the one and only mr akshay kumar	not-Tamil
trailer bgm vera level asuran vettai arambam	Positive	trailer bgm vera level asuran vettai arambam	Positive
2 o tamil cinema milestone if u agree like	Positive	2 o tamil cinema milestone if u agree like	Positive
asuran trailer 2m good good	Positive	asuran trailer 2m good good	Positive
bigil trailer vantha entha padamum diwaliki varlanu solliduvaanga paakringala only for thalapathy	Positive	bigil trailer vantha entha padamum diwaliki varlanu solliduvaanga paakringala only for thalapathy	Mixed_feelings
intha pundaiku than built up da	Positive	intha pundaiku than built up da	Negative
marana mass thrilling haa irruku pola sk anna i love u naa	Positive	marana mass thrilling haa irruku pola sk anna i love u naa	Mixed_feelings
believe me rajni sir ki baat hi kuch aur hai	not-malayalam/tamil	believe me rajni sir ki baat hi kuch aur hai	not-Tamil
thala fan from belgium	Positive	thala fan from belgium	Positive
i hope hero not become mugamoodi 2	Mixed_feelings	i hope hero not become mugamoodi 2	Mixed_feelings
dai ena padam da eduthu vaichurukenga tha sama da	Positive	dai ena padam da eduthu vaichurukenga tha sama da	Mixed_feelings
super star only rajani sir sema mass	Positive	super star only rajani sir sema mass	Positive
first flope of sjankar sir flope movie	Positive	first flope of sjankar sir flope movie	Negative
why likes go slow thala bloods 1m likes varuma	Positive	why likes go slow thala bloods 1m likes varuma	Positive
780k likes on d way	Positive	780k likes on d way	Positive
peta nu peta ani anochuga petta ani petta kodila aravala tamil over ennenlu ayina podu sambar saambaare	Positive	peta nu peta ani anochuga petta ani petta kodila aravala tamil over ennenlu ayina podu sambar saambaare	unknown_state
release in telugu karthi anna	Positive	release in telugu karthi anna	unknown_state
manju mam super performance love you	Positive	manju mam super performance love you	Positive
monkeys like here donkeys comment	Positive	monkeys like here donkeys comment	Negative
6 days after coming fans 6 01 pm	Positive	6 days after coming fans 6 01 pm	Positive
kevala ma erku padam flop than	Positive	kevala ma erku padam flop than	Positive
but thala gethu energy epovu korayala	Positive	but thala gethu energy epovu korayala	Positive
red giant movies sun tv sun tv corporate crimina	Positive	red giant movies sun tv sun tv corporate crimina	Negative
keka love from telugu rajini fans	Positive	keka love from telugu rajini fans	Positive
enga ore star thalaivar super star rajinikanth mass vera leaval thalaiva mass pakka mass	Positive	enga ore star thalaivar super star rajinikanth mass vera leaval thalaiva mass pakka mass	Positive
vikaram sir bgm pullu arikkithu marana mass waiting	Positive	vikaram sir bgm pullu arikkithu marana mass waiting	Positive
thalaivar dhanush anna	Positive	thalaivar dhanush anna	Positive
dislike pannavagala paathi pearu vijai blood poaala	Negative	dislike pannavagala paathi pearu vijai blood poaala	Negative
sema anna sema anna sema anna	Positive	sema anna sema anna sema anna	Mixed_feelings
simbhu rasikan yethana per paka vanthurikingha potra like ah	Positive	simbhu rasikan yethana per paka vanthurikingha potra like ah	Positive
what a trailer indian cinema va vera level ku kondupoga poguthu intha film akshay kumar vera level superstar	Positive	what a trailer indian cinema va vera level ku kondupoga poguthu intha film akshay kumar vera level superstar	Negative
oruthar mela viswasam katradhukaga innoruthara asinga paduthurom	Positive	oruthar mela viswasam katradhukaga innoruthara asinga paduthurom	Mixed_feelings
namakku thevai aanantha namma thaan adichu pudunga um	Positive	namakku thevai aanantha namma thaan adichu pudunga um	Positive
2 06 vig kaiyoda vandhudumonu bayandhuten	Positive	2 06 vig kaiyoda vandhudumonu bayandhuten	Negative
dhanush anna kola maas edukangada award a enga thalaiku	Positive	dhanush anna kola maas edukangada award a enga thalaiku	Positive
vijay anna from karnataka kiccha sudeepa anna die hard fans energetic trailer	Positive	vijay anna from karnataka kiccha sudeepa anna die hard fans energetic trailer	Positive
adda dda yena trailer paa idhu	Positive	adda dda yena trailer paa idhu	Positive
thirunelveli thala veriyarkal oru like podunga	Positive	thirunelveli thala veriyarkal oru like podunga	Positive
ajith sir neenga vera level sir	Positive	ajith sir neenga vera level sir	Positive
yov poya ethanai thadava than paakurathu vera vela seiya vida maaturaru intha aalu	Positive	yov poya ethanai thadava than paakurathu vera vela seiya vida maaturaru intha aalu	Negative
padam blockbuster aakumnu nenakiruvanga like pottu ponga	Positive	padam blockbuster aakumnu nenakiruvanga like pottu ponga	unknown_state
ada paveegala eppadi iruntha manusana ippadi akiteengalada	Positive	ada paveegala eppadi iruntha manusana ippadi akiteengalada	Positive
superb look rajini sir and very stylish	Positive	superb look rajini sir and very stylish	Positive
yaarelam vijay sethupathikaga trailer paaka vanthinga hit like	Positive	yaarelam vijay sethupathikaga trailer paaka vanthinga hit like	unknown_state
ayoo thala waiting la ya veri avuthu	Positive	ayoo thala waiting la ya veri avuthu	Positive
2 08 to 2 10 gun rotating style semma super	Positive	2 08 to 2 10 gun rotating style semma super	Positive
romba nal aparam oru sirapana trailer	Positive	romba nal aparam oru sirapana trailer	Positive
1 55 sema thala super ah sonninga	Positive	1 55 sema thala super ah sonninga	Positive
rip krish thor iron man sakthimaan badman	Negative	rip krish thor iron man sakthimaan badman	Mixed_feelings
indha maadhri padam paathu yevlo varusham aagudhu	Positive	indha maadhri padam paathu yevlo varusham aagudhu	Positive
trailer naa ipti irukanu kappan nu oru trailer vittangale oru feel ye kedaikala athula irunthu chai	Positive	trailer naa ipti irukanu kappan nu oru trailer vittangale oru feel ye kedaikala athula irunthu chai	Negative
326k likes in 1 hour	Positive	326k likes in 1 hour	Positive
diwali ye inaku vantha maathiri iruku	Positive	diwali ye inaku vantha maathiri iruku	Positive
petta blockbuster avum nu solraavnga like podunga	Positive	petta blockbuster avum nu solraavnga like podunga	unknown_state
ipo trending no 1 la entha trailer iruku	Positive	ipo trending no 1 la entha trailer iruku	Positive
rajini ah romba ilamai ya katna karthik subburaj ku oru	Positive	rajini ah romba ilamai ya katna karthik subburaj ku oru	Positive
konjam mathungada otha like commentunu enda unakae theriyadha like dhan varum gotha	Positive	konjam mathungada otha like commentunu enda unakae theriyadha like dhan varum gotha	Negative
thala padam karuththu athigama tha irukkum	Positive	thala padam karuththu athigama tha irukkum	Positive
thalaa i m waiting for big screen marana waiting	Positive	thalaa i m waiting for big screen marana waiting	Positive
thalaivaa nenga nadichute irukanum ipdi mass ah atha nanga paathu rasichute irukanum thalasivaa love you thalaivaa	Positive	thalaivaa nenga nadichute irukanum ipdi mass ah atha nanga paathu rasichute irukanum thalasivaa love you thalaivaa	Positive
end ley dialogue purinjitha appo sandaiya neeruthunga da pakkigala	Positive	end ley dialogue purinjitha appo sandaiya neeruthunga da pakkigala	Positive
amy jackson fans kill like button	Positive	amy jackson fans kill like button	Negative
adhaan narachu pocheyy aprm enna naraya naraya naraya nu kathura	Positive	adhaan narachu pocheyy aprm enna naraya naraya naraya nu kathura	Negative
kajal fans subscribe	Positive	kajal fans subscribe	Positive
engalukku arasiyal rajini dhan pidikkadhu acting la semmaa thalaivaa	Positive	engalukku arasiyal rajini dhan pidikkadhu acting la semmaa thalaivaa	Positive
ejjaathy padam villain voice anyaayam	Positive	ejjaathy padam villain voice anyaayam	Positive
omg kola mass thalaiva aa super	Positive	omg kola mass thalaiva aa super	Positive
ena patamo ethala poiyarunga paappa ajith fans mattuntha poi pakkanum	Positive	ena patamo ethala poiyarunga paappa ajith fans mattuntha poi pakkanum	Positive
dislike pannavan ellamea raththam kakki saavaan	Negative	dislike pannavan ellamea raththam kakki saavaan	Negative
one man army thaliver mass level	Positive	one man army thaliver mass level	Positive
super vijay sethupathi from a telugu fan makkal selvan da	Positive	super vijay sethupathi from a telugu fan makkal selvan da	Positive
enna nadipu ennaa manushan yaa thala na thalaa taan	Positive	enna nadipu ennaa manushan yaa thala na thalaa taan	Positive
bgm is like kaala poraduvom song	Positive	bgm is like kaala poraduvom song	Positive
shabaa ena style ma gun suthuradhu yabba sami inoruthan porandhukuda vara mudiadhu thalaivaa	Positive	shabaa ena style ma gun suthuradhu yabba sami inoruthan porandhukuda vara mudiadhu thalaivaa	Negative
bgm ku oru like poduga	Positive	bgm ku oru like poduga	Positive
unmai aana thala fana irundha like pannunga	Positive	unmai aana thala fana irundha like pannunga	Positive
bulshit akshay tum say tu yeh umeed nahi the	Positive	bulshit akshay tum say tu yeh umeed nahi the	Negative
andha last dance ku ellaarum oru podungappa	Positive	andha last dance ku ellaarum oru podungappa	Positive
ini youtube trending la en thala dha so parthutea irukalam	Positive	ini youtube trending la en thala dha so parthutea irukalam	Positive
yuvan nengala manusana ennaa adi therinkka vittinga ponga	Positive	yuvan nengala manusana ennaa adi therinkka vittinga ponga	Positive
daii rajamoulii summa irunthaa singathaa thatti ezhupitiyee daaww shankar vera level pannirukuraru daww eppaa hollywood la illa ithu athuku melaa	Positive	daii rajamoulii summa irunthaa singathaa thatti ezhupitiyee daaww shankar vera level pannirukuraru daww eppaa hollywood la illa ithu athuku melaa	Positive
2days kalachi trending la varaa modhal padam nu nenaikuren	Positive	2days kalachi trending la varaa modhal padam nu nenaikuren	Positive
intha movie ku kandipaa problm varum because nalla movie ellathukum problm varum its a mass movie mass bgm	Positive	intha movie ku kandipaa problm varum because nalla movie ellathukum problm varum its a mass movie mass bgm	Mixed_feelings
katta waiting in keralaa sk fanss	Positive	katta waiting in keralaa sk fanss	Positive
paruthiveeran getup la karthi ah epo papom nu wait panuavaga like panuga	Positive	paruthiveeran getup la karthi ah epo papom nu wait panuavaga like panuga	Positive
ln 9 minutes 88k likes ajith sir fans like here	Positive	ln 9 minutes 88k likes ajith sir fans like here	Positive
enpt movie ku yethana peru weit panringa	Positive	enpt movie ku yethana peru weit panringa	Negative
news 7 porampoku idha sarkar kuda compare pandran sarkar vera level 2 0 vera level	Positive	news 7 porampoku idha sarkar kuda compare pandran sarkar vera level 2 0 vera level	Negative
sankar sir love yu sir flimsy media flimsymedia	Positive	sankar sir love yu sir flimsy media flimsymedia	Positive
kola gandle irukken rajni sirr	Positive	kola gandle irukken rajni sirr	unknown_state
rajini periyapa ninga yeppavume mass tha	Positive	rajini periyapa ninga yeppavume mass tha	Mixed_feelings
marana mass level super star	Positive	marana mass level super star	Negative
mavane kola kaandula iruken kollama vida maten always showing his class and mass	Positive	mavane kola kaandula iruken kollama vida maten always showing his class and mass	Positive
tiger is back wadakam rajnikant ana	Positive	tiger is back wadakam rajnikant ana	Positive
asuran aadukalam pudupettai wada chennai yellame ore madirida	Positive	asuran aadukalam pudupettai wada chennai yellame ore madirida	Positive
blacksheep namma pasanga valaradha paaka evlo sandhoshama irukku blacksheep kuttymoonji ayaz	Positive	blacksheep namma pasanga valaradha paaka evlo sandhoshama irukku blacksheep kuttymoonji ayaz	Positive
enna da fight scene la vachurukkenga	Positive	enna da fight scene la vachurukkenga	Positive
age is just a number thalaivaa	Positive	age is just a number thalaivaa	Positive
vera level from karnataka fan thala fans	Positive	vera level from karnataka fan thala fans	Positive
this gonna be average film like sindubath rekka for vjs	Positive	this gonna be average film like sindubath rekka for vjs	Negative
90s kids ku padaiyappaku apram oru tharamana padam	Positive	90s kids ku padaiyappaku apram oru tharamana padam	Positive
aiyoo vera leval thalaa mass	Positive	aiyoo vera leval thalaa mass	Positive
or y trailer kis kis ko pasand aaya	not-malayalam/tamil	or y trailer kis kis ko pasand aaya	not-Tamil
evankum anjatha aluya enga thala	Positive	evankum anjatha aluya enga thala	Positive
itha kadhai nu trailer eh solita mathri iruku	Positive	itha kadhai nu trailer eh solita mathri iruku	Mixed_feelings
teaser pathutu olu otavanungala oora vitu odungada	Negative	teaser pathutu olu otavanungala oora vitu odungada	Negative
thala film ku verithanamana music bgm kodukarathu yuvan agree	Positive	thala film ku verithanamana music bgm kodukarathu yuvan agree	Positive
thala da vera laval yuvan musice super	Positive	thala da vera laval yuvan musice super	Positive
any telugu guys jai ajith sema mass da	Positive	any telugu guys jai ajith sema mass da	Positive
story ku sema expectation irukku ana last la en da blade krish the dark knight moonuthaiyum bit adichirukkeenga	Positive	story ku sema expectation irukku ana last la en da blade krish the dark knight moonuthaiyum bit adichirukkeenga	Positive
last scene he is looking like nani ssrk rocks	Positive	last scene he is looking like nani ssrk rocks	Positive
dei vengigala oru trailer kuda oluga eduka mudiyatha	Positive	dei vengigala oru trailer kuda oluga eduka mudiyatha	Positive
yarellam dhanush sir ah bayandhu pathinga	Positive	yarellam dhanush sir ah bayandhu pathinga	Positive
sivakarthikeyan arjun lots of love frm kerala 3	Positive	sivakarthikeyan arjun lots of love frm kerala 3	Positive
2 11 ipo enna panaporo sweet sapda poro	Positive	2 11 ipo enna panaporo sweet sapda poro	unknown_state
sk fans from karnataka state	Positive	sk fans from karnataka state	Positive
dislike potavanga nalaiku kalaila trending la parunga with respect from ak fan	Positive	dislike potavanga nalaiku kalaila trending la parunga with respect from ak fan	Positive
supperb supper rajini always seemma mass	Positive	supperb supper rajini always seemma mass	Positive
thalivar vj sethupathi simran trisha	Positive	thalivar vj sethupathi simran trisha	Positive
rajini sir looking younger than 2 0	Positive	rajini sir looking younger than 2 0	Negative
look like ravi teja bhagiradha movie	Positive	look like ravi teja bhagiradha movie	Negative
ethana peru indha trailer ah 50times ku mela patheenga	Positive	ethana peru indha trailer ah 50times ku mela patheenga	Positive
ellam mudinju pochu nu ellarum solla arambikkum pothu anikku pudusa porakuran namma hero sk	Positive	ellam mudinju pochu nu ellarum solla arambikkum pothu anikku pudusa porakuran namma hero sk	Positive
sirappana tharamanna sambavatha january 10 paakaporom	Positive	sirappana tharamanna sambavatha january 10 paakaporom	Mixed_feelings
thalaivaa dheeivaa levell 3 back to 90 s energy rajinism o	Positive	thalaivaa dheeivaa levell 3 back to 90 s energy rajinism o	Positive
indha padathukku mak ah sokka yoscheenga director sir nalla vela	Positive	indha padathukku mak ah sokka yoscheenga director sir nalla vela	Positive
like podu ga pa 1m varevendama	Positive	like podu ga pa 1m varevendama	Positive
dei 44k views than pathu iruki epdi da 61k views like panna mudiyum	Positive	dei 44k views than pathu iruki epdi da 61k views like panna mudiyum	unknown_state
yenda mask kuda krishn padatha pathu copy adicirukigaleda	Positive	yenda mask kuda krishn padatha pathu copy adicirukigaleda	Positive
ella herovum toppla irukkanunga perulayum pannthulaiyum kondu vandha namma last varaikkum naduveralai sappekitte irruppom	Negative	ella herovum toppla irukkanunga perulayum pannthulaiyum kondu vandha namma last varaikkum naduveralai sappekitte irruppom	Negative
trending list layae illa ppaa	Positive	trending list layae illa ppaa	Positive
bigil movie vera varudhu onga padam	Positive	bigil movie vera varudhu onga padam	Positive
india vula thala kku mattum thanda mass opening his thala veriyanda	Positive	india vula thala kku mattum thanda mass opening his thala veriyanda	Positive
thalabathy 63 poster on 22nd athoda views itha vida adhitgama irkum paarunga	Positive	thalabathy 63 poster on 22nd athoda views itha vida adhitgama irkum paarunga	Positive
andha look podhum avarru yarunu therinjika	Positive	andha look podhum avarru yarunu therinjika	Mixed_feelings
batman_1 jeeva in batman_2 sk in hero	Positive	batman_1 jeeva in batman_2 sk in hero	Positive
dai kurutu thayoli magangala andha sprite ad da podathenga da muntta kuthiyangala gotha kadupu maira iruku	Positive	dai kurutu thayoli magangala andha sprite ad da podathenga da muntta kuthiyangala gotha kadupu maira iruku	Negative
phone yapdi da parakum kuduma panathiga da	Negative	phone yapdi da parakum kuduma panathiga da	Negative
ipo enna panna porom ahh sweet saapda porom	Positive	ipo enna panna porom ahh sweet saapda porom	Mixed_feelings
when ajith fans turn into broker mama for kaidhi dai mama s kaidhi yum engaluku jeikanum thalapathy64	Positive	when ajith fans turn into broker mama for kaidhi dai mama s kaidhi yum engaluku jeikanum thalapathy64	Negative
ippo intha trailer ah parkura angaali pangaali ellaam oru like podunga	Positive	ippo intha trailer ah parkura angaali pangaali ellaam oru like podunga	Positive
shayad pehli film ye hogi jo bollywood ko copy kiya h	not-malayalam/tamil	shayad pehli film ye hogi jo bollywood ko copy kiya h	Positive
24 hrs 10 million views sirappaana tharamaana sampavankal paarka thaan waiting petta paraak	Positive	24 hrs 10 million views sirappaana tharamaana sampavankal paarka thaan waiting petta paraak	Positive
thala girl fans iku romba piducha padam aa amaiya valthugal	Positive	thala girl fans iku romba piducha padam aa amaiya valthugal	Positive
trailer pakkupothellam pullarikkuthu sema maas thala brilliant	Positive	trailer pakkupothellam pullarikkuthu sema maas thala brilliant	Positive
n k p thala mass da	Positive	n k p thala mass da	Positive
thala da tamilnadu mass da thala da	Positive	thala da tamilnadu mass da thala da	Mixed_feelings
ena bigiloda release panni floap ayurumunu bayama irukaa floap aanalum nenja nimirndhu dhaiyriyama edhirthu floap aaganum	Positive	ena bigiloda release panni floap ayurumunu bayama irukaa floap aanalum nenja nimirndhu dhaiyriyama edhirthu floap aaganum	Positive
mairu ku aamiayans 800k likes kuda vanga vakkuilla naigala	Positive	mairu ku aamiayans 800k likes kuda vanga vakkuilla naigala	Positive
thala ayyo sema chancey illa woww yuvan kalalkal	Positive	thala ayyo sema chancey illa woww yuvan kalalkal	unknown_state
10 thala veariyan mattum ennoda channel lai subecribe tamil jio phone tech indian pannuga	Positive	10 thala veariyan mattum ennoda channel lai subecribe tamil jio phone tech indian pannuga	Positive
namma kitta kadu iruntha aduthukuvanga poo iruntha pudingikivanga padippa mattum namma kitta irunthu aduthukavey mudiyathu chithambaram mass dialogue ya	Positive	namma kitta kadu iruntha aduthukuvanga poo iruntha pudingikivanga padippa mattum namma kitta irunthu aduthukavey mudiyathu chithambaram mass dialogue ya	Positive
dai 23 00 dislikes yentha fu da pottan	Positive	dai 23 00 dislikes yentha fu da pottan	Positive
thala thala thala thala thala	Positive	thala thala thala thala thala	Positive
hindi remake but it resembles ellam avan seyal movie also	Positive	hindi remake but it resembles ellam avan seyal movie also	Mixed_feelings
sam cs sir ku 1 like podunga	Positive	sam cs sir ku 1 like podunga	Positive
i love nawazuddin sidiqui hads of rajni sir yash faan	Positive	i love nawazuddin sidiqui hads of rajni sir yash faan	Positive
bc 50 trailer ab tak realise ho chuka hai kon sa sahi hai bc	not-malayalam/tamil	bc 50 trailer ab tak realise ho chuka hai kon sa sahi hai bc	not-Tamil
first rajini sir and nana patekar sir and now rajini sir nawazuddin siddiqui what does else we want	Positive	first rajini sir and nana patekar sir and now rajini sir nawazuddin siddiqui what does else we want	Mixed_feelings
ennda three days aaidichu 1million likes innum varala	Positive	ennda three days aaidichu 1million likes innum varala	Positive
